全日本パワーリフティング選手権大会,2011-08-28,1,1,,,,,,,,,,,,,
福島 友佳子,0,1,1,41,46.38,165,175,180,115,120,125,155,167.5,172.5,477.5,1
大森 聖子,0,1,1,59,46.56,130,140,-145,65,67.5,70,110,120,125,335,2
余語 てるみ,0,1,1,42,45.86,115,-122.5,-122.5,77.5,82.5,82.5,105,122.5,137.5,320,3
中井 敬子,0,1,1,34,51.7,135,142.5,147.5,85,90,92.5,140,147.5,-152.5,385,2
寺村 美香,0,1,1,48,51.44,140,145,150,-85,85,87.5,140,147.5,-150,385,1
南澤 さより,0,1,1,21,51.56,125,127.5,135,-57.5,57.5,60,110,117.5,125,320,3
加藤 幸枝,0,1,1,37,59.32,-165,165,172.5,95,100,-102.5,155,165,-170,432.5,2
岩橋 志保,0,1,1,28,62.02,140,152.5,160,80,85,90,140,155,-160,400,3
北村 真由美,0,1,1,44,62.6,185,195,205,137.5,145,,185,195,-200,537.5,1
池谷 あや子,0,1,1,42,56.52,155,165,175,100,105,107.5,165,175,-182.5,457.5,1
磯田 あかね,0,1,1,40,54.2,115,-122.5,-122.5,75,80,82.5,115,127.5,-132.5,325,6
木村 初子,0,1,1,59,53.2,145,155,160,55,60,70,165,180,-190,395,2
馬場 美貴子,0,1,1,51,56.56,110,120,120,55,60,65,100,115,-120,300,7
林 和美,0,1,1,47,56.18,132.5,142.5,-147.5,70,75,-80,125,132.5,-135,350,3
滝田 由美,0,1,1,39,54.5,110,120,127.5,77.5,82.5,-87.5,115,125,-127.5,335,5
薄 亜由美,0,1,1,30,56.42,135,135,135,72.5,75,-80,120,127.5,130,340,4
